Date,Bullish,Neutral,Bearish
12-7-90,0.26,0.33,0.41
12-14-90,0.31,0.31,0.38
12-21-90,0.16,0.34,0.50
12-28-90,0.30,0.30,0.40
1-4-91,0.31,0.39,0.30
1-11-91,0.22,0.30,0.48
1-18-91,0.22,0.27,0.51
1-25-91,0.25,0.25,0.50
2-1-91,0.29,0.29,0.42
2-8-91,0.36,0.28,0.36
2-15-91,0.46,0.30,0.24
2-22-91,0.57,0.20,0.23
3-1-91,0.50,0.18,0.32
3-8-91,0.50,0.21,0.29
3-15-91,0.55,0.22,0.23
3-22-91,0.42,0.31,0.27
3-29-91,0.47,0.28,0.25
4-5-91,0.58,0.22,0.20
4-12-91,0.43,0.32,0.25
4-19-91,0.39,0.39,0.22
4-26-91,0.55,0.28,0.17
5-3-91,0.39,0.33,0.28
5-10-91,0.38,0.34,0.28
5-17-91,0.42,0.32,0.26
5-24-91,0.38,0.39,0.23
5-31-91,0.42,0.35,0.23
6-7-91,0.46,0.37,0.17
6-14-91,0.47,0.31,0.22
6-21-91,0.44,0.40,0.16
6-28-91,0.28,0.37,0.35
7-3-91,0.28,0.39,0.33
7-12-91,0.41,0.39,0.20
7-19-91,0.27,0.51,0.22
7-26-91,0.35,0.42,0.23
8-2-91,0.33,0.36,0.31
8-9-91,0.26,0.45,0.29
8-16-91,0.37,0.33,0.30
8-23-91,0.32,0.36,0.32
8-30-91,0.41,0.40,0.19
9-6-91,0.36,0.31,0.33
9-13-91,0.43,0.39,0.18
9-20-91,0.32,0.48,0.20
9-27-91,0.31,0.38,0.31
10-4-91,0.35,0.30,0.35
10-11-91,0.39,0.37,0.24
10-18-91,0.30,0.31,0.39
10-25-91,0.31,0.36,0.33
11-1-91,0.52,0.12,0.36
11-8-91,0.32,0.36,0.32
11-15-91,0.38,0.33,0.29
11-22-91,0.48,0.32,0.20
11-27-91,0.33,0.27,0.40
12-6-91,0.23,0.32,0.45
12-13-91,0.33,0.36,0.31
12-20-91,0.36,0.30,0.34
12-27-91,0.39,0.29,0.32
1-3-92,0.49,0.20,0.31
1-10-92,0.48,0.27,0.25
1-17-92,0.51,0.21,0.28
1-24-92,0.46,0.25,0.29
1-31-92,0.47,0.26,0.27
2-7-92,0.36,0.39,0.25
2-14-92,0.46,0.28,0.26
2-21-92,0.47,0.25,0.28
2-28-92,0.43,0.36,0.21
3-6-92,0.45,0.29,0.26
3-13-92,0.38,0.35,0.27
3-20-92,0.48,0.29,0.23
3-27-92,0.43,0.35,0.22
4-3-92,0.35,0.42,0.23
4-10-92,0.43,0.27,0.30
4-17-92,0.37,0.38,0.25
4-24-92,0.52,0.34,0.14
5-1-92,0.29,0.36,0.35
5-8-92,0.43,0.31,0.26
5-15-92,0.40,0.37,0.23
5-22-92,0.48,0.24,0.28
5-29-92,0.41,0.43,0.16
6-5-92,0.41,0.40,0.19
6-12-92,0.31,0.46,0.23
6-19-92,0.35,0.37,0.28
6-26-92,0.39,0.34,0.27
7-2-92,0.21,0.44,0.35
7-9-92,0.23,0.42,0.35
7-17-92,0.29,0.40,0.31
7-24-92,0.32,0.44,0.24
7-31-92,0.22,0.47,0.31
8-5-92,0.28,0.39,0.33
8-14-92,0.26,0.37,0.37
8-21-92,0.22,0.34,0.44
8-28-92,0.30,0.37,0.33
9-4-92,0.14,0.44,0.42
9-11-92,0.22,0.39,0.39
9-18-92,0.21,0.42,0.37
9-25-92,0.25,0.34,0.41
10-2-92,0.30,0.35,0.35
10-9-92,0.21,0.35,0.44
10-16-92,0.20,0.24,0.56
10-23-92,0.21,0.32,0.47
10-30-92,0.35,0.35,0.30
11-6-92,0.49,0.27,0.24
11-13-92,0.37,0.44,0.19
11-20-92,0.48,0.38,0.14
11-25-92,0.43,0.37,0.20
12-4-92,0.37,0.39,0.24
12-11-92,0.43,0.42,0.15
12-18-92,0.63,0.27,0.10
12-24-92,0.55,0.30,0.15
1-1-93,0.60,0.27,0.13
1-8-93,0.20,0.49,0.31
1-15-93,0.54,0.32,0.14
1-22-93,0.41,0.38,0.21
1-29-93,0.40,0.37,0.23
2-5-93,0.44,0.34,0.22
2-12-93,0.47,0.31,0.22
2-19-93,0.46,0.27,0.27
2-26-93,0.34,0.32,0.34
3-5-93,0.27,0.36,0.37
3-12-93,0.45,0.33,0.22
3-19-93,0.41,0.32,0.27
3-26-93,0.43,0.34,0.23
4-2-93,0.37,0.36,0.27
4-9-93,0.32,0.39,0.29
4-16-93,0.31,0.35,0.34
4-23-93,0.28,0.42,0.30
4-30-93,0.22,0.37,0.41
5-7-93,0.21,0.45,0.34
5-14-93,0.20,0.41,0.39
5-21-93,0.21,0.34,0.45
5-28-93,0.24,0.37,0.39
6-4-93,0.33,0.39,0.28
6-11-93,0.23,0.36,0.41
6-18-93,0.22,0.35,0.43
6-25-93,0.28,0.38,0.34
7-2-93,0.18,0.44,0.38
7-9-93,0.21,0.45,0.34
7-16-93,0.22,0.44,0.34
7-23-93,0.24,0.43,0.33
7-30-93,0.25,0.45,0.30
8-6-93,0.26,0.42,0.32
8-13-93,0.25,0.41,0.34
8-20-93,0.29,0.41,0.30
8-27-93,0.27,0.35,0.38
9-3-93,0.38,0.33,0.29
9-10-93,0.30,0.30,0.40
9-17-93,0.32,0.34,0.34
9-24-93,0.28,0.40,0.32
10-1-93,0.26,0.34,0.40
10-8-93,0.29,0.37,0.34
10-15-93,0.31,0.38,0.31
10-22-93,0.42,0.30,0.28
10-29-93,0.43,0.33,0.24
11-4-93,0.32,0.36,0.32
11-11-93,0.35,0.30,0.35
11-18-93,0.34,0.31,0.35
11-24-93,0.45,0.30,0.25
12-2-93,0.33,0.32,0.35
12-9-93,0.37,0.39,0.24
